"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B[1]",0.290330777729064,0.00328173156250024,0.114138969658488,0.0609938213745606,0.212138465144999,0.293095309722394,0.368486762473895,0.510393819583845,1209.65573206376,0.999719147991574
"B[2]",0.167250534880826,0.000481324650612971,0.0169924640421727,0.133810367836957,0.155430534202772,0.167353837585961,0.179048519493336,0.199211643080568,1246.33993451775,1.00269848545848
"B[3]",0.00920345795976842,2.80425391965444e-05,0.00106010629387319,0.00714122767480818,0.00852838971172899,0.00921034584327493,0.00988189159233063,0.0113097745723416,1429.10505268461,1.00012410065802
"B[4]",0.112321580234836,0.00178546235460694,0.0565799846998434,0.00417910624342947,0.0749858036783896,0.112576383191489,0.150658787861838,0.222317790648127,1004.20933865521,0.999646350389333
"b0",-0.102098088989467,0.0867132453629149,0.982274169677856,-1.8201715565422,-0.833652333782161,-0.138814067187028,0.585827441076434,1.89143771997473,128.320063659308,1.01939669616175
"a[1]",0.0634722478550616,0.0904991275236029,1.02014082921131,-2.04371476496242,-0.628715354395536,0.114169061270796,0.790845304042714,1.86621637151559,127.066619146244,1.02124602168078
"a[2]",0.31551650643367,0.091185636211292,1.01465489556624,-1.82834614003328,-0.384516407510024,0.347147904198159,1.06973703504598,2.12304856259981,123.81801722542,1.0213848185882
"a[3]",-1.55755779582268,0.0902287501001601,1.00077403927742,-3.58976886945782,-2.24190785026442,-1.52465121410473,-0.807932977344675,0.204234328105387,123.021828932391,1.02057392767189
"a[4]",-1.12466103314909,0.0910347353529186,1.00851215069192,-3.21816661239282,-1.83625104736607,-1.07850887877715,-0.356348417033532,0.646485383432313,122.729227892873,1.02197350226259
"a[5]",-1.62189680272218,0.090522392813997,1.00471598267678,-3.64590322911975,-2.29082568865679,-1.58460901255297,-0.865561138698091,0.16609776700023,123.189749248627,1.02141994751018
"a[6]",-1.47127515760434,0.0902755212487966,1.00535814031368,-3.51280686714295,-2.14897006271333,-1.41462787279018,-0.719063195161383,0.277391137258265,124.022816009113,1.02097639726118
"a[7]",-1.92430184083104,0.0905553320261074,1.00562808270715,-3.97042652976842,-2.60124773255983,-1.90579370295397,-1.17419970050249,-0.147444697161179,123.323752491979,1.02095707692636
"a[8]",-1.69650539715499,0.0901934130605294,1.00260461887937,-3.74373655680777,-2.36864231126175,-1.65908169066563,-0.934222331936338,0.0709804744170769,123.569064503659,1.02122207781204
"a[9]",-1.69454177820084,0.090135782044166,1.00191960448302,-3.72779088378542,-2.38239218268981,-1.66217629307409,-0.931568217302508,0.0805319678020593,123.558118584068,1.02152141927052
"a[10]",-1.46228469520136,0.0902344897183909,0.999707447277213,-3.51409291750622,-2.12607409709495,-1.43720138582851,-0.721238934434969,0.242346376957994,122.744126983269,1.02160138464901
"a[11]",-1.65511753088387,0.0907459778926789,1.006066157061,-3.71771635307833,-2.31900621799183,-1.61908353086041,-0.89861944425107,0.13755663831858,122.913139026069,1.02129912977852
"a[12]",-1.51134693000382,0.089785447781448,1.00372742780254,-3.52383906124075,-2.20974287208106,-1.47639021378574,-0.767462281556937,0.281597012677407,124.974002139967,1.02175541368212
"a[13]",-1.56146710045391,0.0906364496442366,1.00711180239914,-3.65239819982017,-2.23220292192929,-1.5269415835277,-0.806465622496791,0.225608596032455,123.466631757687,1.02205573768348
